NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
100,E4220200098201,三川内山公園,長崎県佐世保市三川内町1092-1,,,,1,1,1,,,,33.13411667,129.8329972,
101,E4220200099201,三川内運動広場,長崎県佐世保市三川内町987,,,,1,1,1,,,,33.153388,129.82782,
102,E4220200100201,三川内地区コミュニティセンター,長崎県佐世保市三川内本町289-1,1,1,,,,,,,1,33.15274722,129.8293139,
103,E4220200101201,三川内焼伝統産業会館,長崎県佐世保市三川内本町343,1,1,,,1,,,,1,33.15373889,129.8294556,
104,E4220200102201,三川内地区コミュニティセンター　体育室,長崎県佐世保市三川内本町358-1,,1,,,,,,,1,33.15457778,129.8302722,
105,E4220200103201,三川内中央運動公園,長崎県佐世保市三川内本町380-1,,,,1,1,1,,,,33.15335556,129.8278556,
106,E4220200104201,白南風小学校,長崎県佐世保市山祇町387,,1,,1,,1,,,1,33.16787222,129.7331694,
107,E4220200105201,山手小学校,長崎県佐世保市山手町16-38,1,1,,1,,1,,,1,33.18654444,129.7264639,
108,E4220200106201,江上地区コミュニティセンター,長崎県佐世保市指方町1759,,1,,,,,,,1,33.10856944,129.7834389,
109,E4220200107201,江上公園,長崎県佐世保市指方町2230-2,,,,1,,1,,,,33.10815833,129.7834056,
110,E4220200108201,江上小学校,長崎県佐世保市指方町2382,,1,,1,,1,,,1,33.10923333,129.7782167,
111,E4220200109201,岩下公園,長崎県佐世保市指方町3788-141,,,,1,,1,,,,33.09728333,129.7905333,
112,E4220200110201,旧ポリテクセンター体育館,長崎県佐世保市指方町692-1,,1,,,,,,,1,33.114498110161,129.79140544666,
113,E4220200111201,枇杷坂公園,長崎県佐世保市指方町766-5,,,,1,,1,,,,33.11299167,129.7885194,
114,E4220200112201,赤崎小学校,長崎県佐世保市鹿子前町330,,1,,1,,1,,,1,33.16066111,129.688225,
115,E4220200113201,鹿子前園地,長崎県佐世保市鹿子前町918-1,,,,1,,1,,,,33.16204167,129.6822778,
116,E4220200114201,鹿町中学校,長崎県佐世保市鹿町町下歌ヶ浦1-16,,1,,1,1,1,,,1,33.27859722,129.5897111,
117,E4220200115201,歌浦小学校,長崎県佐世保市鹿町町下歌ヶ浦791-11,,1,,1,,1,,,1,33.26636667,129.5815556,
118,E4220200116201,鹿町地区コミュニティセンター,長崎県佐世保市鹿町町下歌ヶ浦8-37,,1,,,,,,,1,33.27826944,129.5933194,
119,E4220200117201,明星公園,長崎県佐世保市鹿町町上歌ヶ浦219-2,,,,1,1,1,,,,33.25734167,129.6026472,
120,E4220200118201,戸石川公園,長崎県佐世保市鹿町町深江553-10,,,,1,1,1,,,,33.30273889,129.6196833,
121,E4220200119201,鹿町小学校,長崎県佐世保市鹿町町深江730-1,1,1,,1,,1,,,1,33.29811111,129.6160139,
122,E4220200120201,長串山公園,長崎県佐世保市鹿町町長串１７４－１２外,,,,1,1,1,,,,33.25633889,129.5784278,
123,E4220200121201,県立鹿町工業高等学校,長崎県佐世保市鹿町町土肥ノ浦110,,1,,1,,1,,,1,33.30579722,129.6172472,
124,E4220200122201,若竹台北公園,長崎県佐世保市若竹台町265,,,,1,1,1,,,,33.1479,129.7892556,
125,E4220200123201,若竹台中央公園,長崎県佐世保市若竹台町312,,,,1,1,1,,,,33.14615556,129.7876972,
126,E4220200124201,崎辺地区コミュニティセンター,長崎県佐世保市十郎新町3-7,,1,,,,,,,1,33.13830833,129.7395806,
127,E4220200125201,広田中学校,長崎県佐世保市重尾町188,,1,,1,1,1,,,1,33.124649,129.809952,
128,E4220200126201,県立佐世保東翔高等学校,長崎県佐世保市重尾町425-3,,1,,1,,1,,,1,33.12605,129.8161694,
129,E4220200127201,広田地区コミュニティセンター,長崎県佐世保市重尾町63,,1,,,1,,,,1,33.124475,129.8074167,
130,E4220200128201,北地区コミュニティセンター,長崎県佐世保市春日町18-9,1,1,,,1,,,,1,33.19820833,129.7230917,
131,E4220200129201,西海学園高等学校,長崎県佐世保市春日町29-22,,1,,1,,1,,,1,33.20066111,129.7217167,
132,E4220200130201,春日公園,長崎県佐世保市春日町318,,,,1,1,1,,,,33.19979722,129.7232167,
133,E4220200131201,春日第二公園,長崎県佐世保市春日町476-2,,,,1,1,1,,,,33.19835833,129.723775,
134,E4220200132201,勝富公園,長崎県佐世保市勝富町1000-9,,,,1,1,1,,,,33.17350556,129.728425,
135,E4220200133201,小佐々スポーツセンター,長崎県佐世保市小佐々町黒石523-1,1,1,,,,,,,1,33.21459,129.628183,
136,E4220200134201,小佐々中学校,長崎県佐世保市小佐々町西川内132,,1,,1,1,1,,,1,33.21375,129.6001417,
137,E4220200135201,小佐々地区コミュニティセンター,長崎県佐世保市小佐々町西川内172-3,1,1,,,1,,,,1,33.214976,129.599076,
138,E4220200136201,小佐々小学校,長崎県佐世保市小佐々町田原290-1,,1,,1,,1,,,1,33.226752,129.619183,
139,E4220200137201,楠栖小学校,長崎県佐世保市小佐々町楠泊526,,1,,1,1,1,,,1,33.21897222,129.5737417,
140,E4220200138201,冷水岳園地,長崎県佐世保市小佐々町矢岳１６１８－１２外,,,,1,1,1,,,,33.23428056,129.5842417,
141,E4220200139201,小佐世保小学校,長崎県佐世保市小佐世保町18-1,1,1,,1,1,1,,,1,33.17648611,129.7347556,
142,E4220200140201,県立ろう学校佐世保分教室,長崎県佐世保市小舟町60,,1,,1,,1,,,1,33.20789167,129.7594278,
143,E4220200141201,小島公園,長崎県佐世保市小島町167-1,,,,1,1,1,,,,33.16555556,129.7012639,
144,E4220200142201,松浦公園,長崎県佐世保市松浦町1000-5,,,,1,,1,,,,33.17454722,129.7178583,
145,E4220200144201,聖和女子学院高等学校,長崎県佐世保市松山町495,1,1,,1,,1,,,1,33.19176111,129.7223889,
146,E4220200143201,松山公園,長崎県佐世保市松山町３００－２外,,,,1,1,1,,,,33.19350833,129.7269361,
147,E4220200145201,大野中学校,長崎県佐世保市松瀬町838,,1,,1,,1,,,1,33.210375,129.7267889,
148,E4220200146201,相浦小学校,長崎県佐世保市上相浦町3-9,,1,,1,,1,,,1,33.19324167,129.6678889,
149,E4220200148201,桧台第一公園,長崎県佐世保市上本山町1-460,,,,1,1,1,,,,33.21156944,129.6912194,
150,E4220200149201,桧台第二公園,長崎県佐世保市上本山町1-465,,,,1,1,1,,,,33.21195278,129.6880389,
151,E4220200147201,中里皆瀬地区コミュニティセンター,長崎県佐世保市上本山町1228-1,,1,,,,,,,1,33.210625,129.6955806,
152,E4220200150201,柚木小学校,長崎県佐世保市上柚木町3204,,1,,1,,1,,,1,33.21293611,129.7737972,
153,E4220200151201,宮中学校,長崎県佐世保市城間町338,,1,,1,,1,,,1,33.08759722,129.8150722,
154,E4220200152201,宮地区コミュニティセンター,長崎県佐世保市城間町345,,1,,,,,,,1,33.08686944,129.8148194,
155,E4220200153201,まちなかコミュニティセンター,長崎県佐世保市常盤町6-1,,1,,,,,,,1,33.17378333,129.7187528,
156,E4220200154201,三川内中学校,長崎県佐世保市新行江町957,,1,,1,,1,,,1,33.15521389,129.83375,
157,E4220200155201,新田公園,長崎県佐世保市新田町403-7,,,,1,1,1,,,,33.18866944,129.6743083,
158,E4220200156201,上相浦公園,長崎県佐世保市新田町67-4,,,,1,,1,,,,33.19526944,129.6700833,
159,E4220200157201,神島公園,長崎県佐世保市神島町99-1,,,,1,1,1,,,,33.16718333,129.7054556,
160,E4220200158201,針尾地区コミュニティセンター,長崎県佐世保市針尾中町1538-5,,1,,,,,,,1,33.07778333,129.7560833,
161,E4220200159201,針尾小学校,長崎県佐世保市針尾中町1863,,1,,1,1,1,,,1,33.082225,129.7546889,
162,E4220200160201,西海橋公園,長崎県佐世保市針尾東町２６７８外,,,,1,1,1,,,,33.05546389,129.7569556,
163,E4220200161201,大崎公園,長崎県佐世保市針尾北町2157-9,,,,1,1,1,,,,33.11850556,129.74825,
164,E4220200162201,針尾地区コミュニティセンター　体育室,長崎県佐世保市針尾北町756,1,1,,,1,,,,1,33.100259486338,129.75604929392,
165,E4220200163201,浦頭引揚記念平和公園,長崎県佐世保市針尾北町８２４外,,,,1,1,1,,,,33.10051111,129.7577083,
166,E4220200164201,早岐中学校,長崎県佐世保市陣の内町100,1,1,,1,,1,,,1,33.14335,129.7970056,
167,E4220200165201,陣の内公園,長崎県佐世保市陣の内町883,,,,1,1,1,,,,33.14923611,129.7910472,
168,E4220200166201,須佐公園,長崎県佐世保市須佐町57,,,,1,1,1,,,,33.17621389,129.7305722,
169,E4220200167201,潮見小学校,長崎県佐世保市須田尾町19-44,,1,,1,,1,,,1,33.16471667,129.7343389,
170,E4220200168201,山澄中学校,長崎県佐世保市須田尾町232,,1,,1,,1,,,1,33.16640556,129.7359722,
171,E4220200169201,世知原中学校,長崎県佐世保市世知原町栗迎132-1,1,1,,1,1,1,,,1,33.25461944,129.7530667,
172,E4220200170201,世知原小学校,長崎県佐世保市世知原町栗迎194-1,,1,,1,,1,,,1,33.25674722,129.7535444,
173,E4220200171201,世知原地区コミュニティセンター,長崎県佐世保市世知原町栗迎246-1,,1,,,,,,,1,33.257698563416,129.75168522588,
174,E4220200172201,板山公園,長崎県佐世保市世知原町上野原２３９５－７外,,,,1,1,1,,,,33.23174167,129.7494528,
175,E4220200173201,瀬戸越公園,長崎県佐世保市瀬戸越3-1666-4,,,,1,1,1,,,,33.20521389,129.7289056,
176,E4220200174201,春日小学校,長崎県佐世保市瀬戸越3-19-1,1,1,,1,1,1,,,1,33.202692,129.728468,
177,E4220200175201,県立佐世保工業高等学校,長崎県佐世保市瀬戸越3-3-30,,1,,1,,1,,,1,33.20808056,129.7299361,
178,E4220200176201,眼鏡岩公園,長崎県佐世保市瀬戸越町1266-1,,,,1,1,1,,,,33.203531,129.719992,
179,E4220200177201,星和第一公園,長崎県佐世保市星和台町1460-332,,,,1,1,1,,,,33.17493056,129.6770694,
180,E4220200178201,赤崎台第一公園,長崎県佐世保市赤崎町1450-1,,,,1,1,1,,,,33.15885833,129.6924694,
181,E4220200179201,愛宕中学校,長崎県佐世保市赤崎町483-2,,1,,1,1,1,,,1,33.157098713656,129.69707598228,
182,E4220200180201,愛宕地区コミュニティセンター,長崎県佐世保市赤崎町596-26,,1,,,,,,,1,33.15556389,129.6953917,
183,E4220200181201,泉水田公園,長崎県佐世保市赤崎町630,,,,1,1,1,,,,33.15523611,129.6952667,
184,E4220200182201,赤崎公園,長崎県佐世保市赤崎町857,,,,1,1,1,,,,33.15452222,129.6999806,
185,E4220200183201,長崎県立大学佐世保校,長崎県佐世保市川下町123,,1,,1,,1,,,1,33.18688611,129.6666167,
186,E4220200184201,相浦地区コミュニティセンター,長崎県佐世保市川下町209-5,,1,,,,,,,1,33.186276287825,129.66823856129,
187,E4220200185201,相浦中学校,長崎県佐世保市川下町277,,1,,1,,1,,,1,33.19036389,129.6685778,
188,E4220200186201,浅子公園,長崎県佐世保市浅子町188-14,,,,1,,1,,,,33.19551944,129.6234472,
189,E4220200187201,浅子小中学校,長崎県佐世保市浅子町58,,1,,1,1,1,,,1,33.20325278,129.6259944,
190,E4220200188201,西海国立公園九十九島動植物園（駐車場）,長崎県佐世保市船越町2172,,,,1,1,1,,,,33.15155,129.6901194,
191,E4220200189201,船越小学校,長崎県佐世保市船越町759,,1,,1,1,1,,,1,33.14587222,129.6904833,
192,E4220200190201,早岐公園,長崎県佐世保市早岐1-377-1,,,,1,,1,,,,33.13590556,129.7976278,
193,E4220200191201,早岐地区コミュニティセンター,長崎県佐世保市早岐1-6-38,,1,,,,,,,1,33.13631111,129.7975667,
194,E4220200192201,早岐小学校,長崎県佐世保市早岐2-32-12,,1,,1,1,1,,,1,33.13987222,129.7980417,
195,E4220200193201,早苗公園,長崎県佐世保市早苗町771,,,,1,1,1,,,,33.14598056,129.803425,
196,E4220200194201,相浦西小学校,長崎県佐世保市相浦町794,1,1,,1,1,1,,,1,33.19128889,129.6625,
197,E4220200195201,大岳台第二公園,長崎県佐世保市大岳台町2-389,,,,1,1,1,,,,33.148675,129.7626444,
198,E4220200196201,大岳台第三公園,長崎県佐世保市大岳台町2-605,,,,1,1,1,,,,33.14568333,129.7640194,
199,E4220200197201,大潟公園,長崎県佐世保市大潟町135,,,,1,1,1,,,,33.18305556,129.6593222,
200,E4220200198201,美崎が丘第二公園,長崎県佐世保市大潟町254-46,,,,1,1,1,,,,33.17936667,129.6567944,
201,E4220200199201,相浦西小学校大崎分校,長崎県佐世保市大潟町467,,1,,1,1,1,,,1,33.17344167,129.64535,
202,E4220200200201,福石小学校,長崎県佐世保市大宮町32-1,,1,,1,,1,,,1,33.156375,129.7426583,
203,E4220200201201,大黒公園,長崎県佐世保市大黒町62-6,,,,1,1,1,,,,33.156,129.7358889,
204,E4220200202201,大塔公園,長崎県佐世保市大塔町2394-9,,,,1,,1,,,,33.14500278,129.7797917,
205,E4220200203201,陽光台第一公園,長崎県佐世保市大塔町648-187,,,,1,1,1,,,,33.15031111,129.7751056,
206,E4220200204201,池野公園,長崎県佐世保市大野町166-3,,,,1,1,1,,,,33.21223333,129.737325,
207,E4220200205201,ひうみの丘公園,長崎県佐世保市大和町545-1,,,,1,1,1,,,,33.15653056,129.7541194,
208,E4220200206201,真申中央公園,長崎県佐世保市棚方町207-21,,,,1,,1,,,,33.20841667,129.6550139,
209,E4220200207201,棚方第一公園,長崎県佐世保市棚方町405-122,,,,1,1,1,,,,33.20319722,129.6578944,
210,E4220200208201,棚方第三公園,長崎県佐世保市棚方町424-223,,,,1,1,1,,,,33.20027222,129.6526278,
211,E4220200209201,棚方中央公園,長崎県佐世保市棚方町675,,,,1,1,1,,,,33.19993611,129.6564639,
212,E4220200210201,中央公園,長崎県佐世保市谷郷町,,,,1,1,1,,,,33.177225,129.7207444,
213,E4220200211201,知見寺公園,長崎県佐世保市知見寺町１１４３－２外,,,,1,1,1,,,,33.22393889,129.7365722,
214,E4220200212201,県立佐世保特別支援学校,長崎県佐世保市竹辺町810,1,1,,1,,1,,,1,33.1966,129.6730667,
215,E4220200213201,中里小学校,長崎県佐世保市中里町356,1,1,,1,,1,,,1,33.20297778,129.6837611,
216,E4220200214201,中里中学校,長崎県佐世保市中里町905,,1,,1,,1,,,1,33.20453333,129.6902889,
217,E4220200215201,山澄地区コミュニティセンター,長崎県佐世保市潮見町14-14,1,1,,,1,,,,1,33.16422222,129.7289722,
218,E4220200216201,長坂公園,長崎県佐世保市長坂町662-1,,,,1,1,1,,,,33.16691111,129.6908306,
219,E4220200217201,長崎短期大学,長崎県佐世保市椎木町600,1,1,,1,,1,,,1,33.18025556,129.674325,
220,E4220200217202,九州文化学園高等学校,長崎県佐世保市椎木町600,1,1,,1,,1,,,1,33.17979722,129.6723944,
221,E4220200218201,総合グラウンド,長崎県佐世保市椎木町無番地,,1,,1,,1,,,1,33.17928056,129.6673306,
222,E4220200219201,天神小学校,長崎県佐世保市天神1-11-13,,1,,1,,1,,,1,33.15009444,129.7390278,
223,E4220200220201,天神公園,長崎県佐世保市天神町1131,,,,1,1,1,,,,33.14823889,129.7318139,令和１２年３月末まで工事中のため使用中止（予定）
224,E4220200221201,港小学校,長崎県佐世保市天神町1603,,1,,1,1,1,,,1,33.13964167,129.7296444,
225,E4220200222201,崎辺中学校,長崎県佐世保市天神町1706,,1,,1,1,1,,,1,33.14053611,129.731925,
226,E4220200224201,大野地区コミュニティセンター,長崎県佐世保市田原町13-29,,1,,,,,,,1,33.20851389,129.7211667,
